,question,referenceAnswers,studentAnswer,label
0,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the switch is contained in the path with the bulb, the switch affects the bulb.",1
1,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch must be contained in a path with the bulb,1
2,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if it is closed, the bulb will be on. If it is open the bulb will be off",2
3,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the switch is open, the path will be closed",3
4,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,idk,2
5,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must be closed for a bulb to be on.,2
6,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must bring the voltage to the bulb.,3
7,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must be closed.,3
8,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must be closed with the battery and the bulb,2
9,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must contain a battery,2
10,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,a bulb must be contained in a closed path with the battery,2
11,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the bulb has to be conatined in a closed path with the battery.,2
12,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch affects a bulb only on the same path,1
13,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,where the switch is in path determines whether it affects the bulb,3
14,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A bulb is contained in a path with the switch,1
15,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if it is a closed path.,3
16,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the switch is contained within the same path.,1
17,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the switch is contained in a closed path.,3
18,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,If it remains a closed path.,3
19,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,because the path has to be open,3
20,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the relationship between the path and the bulb has to be closed,3
21,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,a switch is contained in the path,2
22,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch affects a bulb when it is in a closed path with a battery.,2
23,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"I don""t know what else to tell you.",2
24,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch contained in a closed bath with a bulb and a battery will affect the bulb.,1
25,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch contained in a closed path with a bulb and a battery will affect the bulb.,1
26,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path opens the circuit,3
